news_id,all_entity_ids
N13855,['Q54078']
N16556,"['Q7934247', 'Q3443993', 'Q488929', 'Q94388', 'Q337688']"
N22679,['Q10993']
N24423,[]
N20084,[]
N18393,[]
N7141,"['Q28777627', 'Q16235552']"
N11663,[]
N55435,['Q1109032']
N39173,[]
N33874,[]
N44661,['Q5889160']
N41976,[]
N36820,[]
N54727,"['Q10479', 'Q3304418', 'Q36812', 'Q152316']"
N11683,"['Q152057', 'Q2280045', 'Q1330390']"
N19401,[]
N31442,['Q48989064']
N47214,[]
N31402,"['Q1553', 'Q724']"
N61358,['Q1048314']
N48632,[]
N57699,['Q4694900']
N27214,[]
N25174,"['Q16554', 'Q8026410', 'Q192517']"
N51426,['Q15935']
N41013,"['Q13522520', 'Q29552', 'Q22686', 'Q6294']"
N19888,"['Q320484', 'Q320476', 'Q6127917']"
N45191,['Q3884']
N60535,"['Q3860113', 'Q24204', 'Q193390', 'Q373355']"
N47600,[]
N35318,"['Q251868', 'Q816', 'Q16970982', 'Q58691']"
N11360,['Q718113']
N13566,['Q39367']
N24417,"['Q32859236', 'Q157376', 'Q162990']"
N59891,"['Q49238', 'Q213660', 'Q1454', 'Q571856', 'Q3296292', 'Q94967', 'Q7753915', 'Q1391']"
N30236,"['Q41329', 'Q948442']"
N64593,['Q28749']
N45970,"['Q858', 'Q22686', 'Q30', 'Q2429253']"
N54542,"['Q2869377', 'Q214861']"
N30290,"['Q38076', 'Q2705946']"
N51844,[]
N7992,['Q7449511']
N49374,['Q165657']
N14176,[]
N60584,['Q193583']
N10,['Q219067']
N46830,[]
N41147,"['Q41187', 'Q132020', 'Q1323662']"
N61914,"['Q191089', 'Q1749879']"
N21253,['Q5454161']
N24905,"['Q7054495', 'Q29552', 'Q29468', 'Q827550']"
N65207,"['Q93332', 'Q1509']"
N16430,['Q99']
N35616,[]
N23386,"['Q16', 'Q30']"
N43484,[]
N59794,['Q797819']
N15483,[]
N62736,"['Q18182633', 'Q15613717']"
N35080,"['Q1939224', 'Q105611', 'Q3517772']"
N19146,[]
N17041,"['Q189635', 'Q780394']"
N48072,['Q7397012']
N18287,"['Q524757', 'Q691365', 'Q1777174', 'Q5299741', 'Q1330910', 'Q7694479']"
N41146,['Q1814260']
N31161,"['Q848117', 'Q825838']"
N37461,"['Q42049', 'Q9682']"
N39490,"['Q7289018', 'Q82048']"
N8691,"['Q220552', 'Q172610', 'Q19947779']"
N26444,"['Q3342107', 'Q5120214']"
N30868,[]
N56406,"['Q4158552', 'Q453819', 'Q172516', 'Q4899506']"
N56618,"['Q35525', 'Q266863', 'Q48340', 'Q13973', 'Q186068', 'Q270389']"
N5373,['Q251868']
N36464,['Q7080918']
N38308,['Q733742']
N12440,[]
N2540,"['Q735575', 'Q843', 'Q48340', 'Q645968', 'Q6794765', 'Q155164', 'Q9685', 'Q36812']"
N42716,"['Q866', 'Q17007649', 'Q169251']"
N39638,[]
N24900,"['Q812', 'Q186471', 'Q2421065', 'Q2526336', 'Q49255', 'Q61653213']"
N9947,[]
N25567,"['Q503966', 'Q155476']"
N25205,['Q10479']
N61681,['Q192043']
N59709,"['Q373983', 'Q212654', 'Q221150']"
N57930,[]
N9013,"['Q16554', 'Q16556', 'Q1342', 'Q503308', 'Q14710809']"
N15651,['Q217652']
N63682,['Q178033']
N51784,"['Q233929', 'Q1377913']"
N41869,[]
N13882,"['Q373983', 'Q212654', 'Q221150']"
N6258,[]
N27641,"['Q32620', 'Q29468', 'Q1415', 'Q6294', 'Q1089199', 'Q7173106']"
N50246,['Q797']
N60798,['Q4200953']
N37423,['Q1132113']
N23937,"['Q10479', 'Q9685', 'Q9682']"
N43734,"['Q7143356', 'Q1723946', 'Q233929', 'Q7579939', 'Q209479', 'Q1815381', 'Q1068013']"
N11593,['Q13479957']
N27715,[]
N23874,"['Q16759', 'Q43416', 'Q229048', 'Q1122565']"
N3565,"['Q223243', 'Q204862', 'Q1166', 'Q191477', 'Q1215884', 'Q27924981']"
N26766,[]
N61203,"['Q99', 'Q189489', 'Q127856', 'Q37459']"
N1244,['Q49']
N9774,"['Q2586040', 'Q494556']"
N10538,"['Q3044445', 'Q51694', 'Q17943']"
N20833,"['Q107393', 'Q22']"
N5815,"['Q715583', 'Q125054', 'Q688825']"
N46851,['Q30']
N59874,"['Q371820', 'Q5599116', 'Q3976560']"
N19513,['Q334204']
N3649,['Q3884']
N6632,[]
N28561,"['Q2747220', 'Q632014', 'Q812']"
N25024,[]
N41208,[]
N61178,[]
N4015,"['Q18517638', 'Q2290907', 'Q27829251', 'Q22686']"
N4586,"['Q1071199', 'Q29570']"
N32515,"['Q228699', 'Q170063', 'Q5554360']"
N4147,"['Q2608238', 'Q279941']"
N58146,['Q25265']
N34122,"['Q60', 'Q29469139']"
N3528,[]
N39809,"['Q944845', 'Q212654', 'Q24976', 'Q594428', 'Q223527', 'Q4977062']"
N1810,"['Q645968', 'Q36812']"
N14042,['Q1967350']
N12081,['Q3304418']
N58073,['Q1428']
N27287,['Q9212']
N48549,"['Q165529', 'Q335762', 'Q65039', 'Q420129']"
N52529,"['Q3687081', 'Q2892868', 'Q1215884']"
N16077,"['Q7716694', 'Q16563', 'Q5324273']"
N27063,"['Q339348', 'Q30', 'Q12013']"
N13305,[]
N7348,[]
N49134,"['Q2707177', 'Q18358010', 'Q1815381', 'Q785130', 'Q5345471']"
N34722,[]
N5599,"['Q18631526', 'Q272223', 'Q1215884', 'Q16236747']"
N49830,['Q42493']
N36911,"['Q24204', 'Q193390']"
N27394,"['Q169898', 'Q35886', 'Q348019', 'Q172030']"
N65217,"['Q5303465', 'Q1748884']"
N49369,[]
N64413,[]
N37414,"['Q43359', 'Q124179', 'Q1428953', 'Q182890', 'Q124147', 'Q682710', 'Q189965']"
N27137,['Q3303463']
N34406,[]
N9,[]
N15254,['Q34579349']
N33161,['Q1158012']
N55248,['Q179295']
N7771,['Q209330']
N30781,"['Q23768', 'Q916998']"
N31552,"['Q112055', 'Q86483']"
N30344,['Q1428']
N19490,"['Q43668', 'Q189490', 'Q60', 'Q19020']"
N48774,[]
N39751,"['Q715583', 'Q6663', 'Q177054']"
N17108,"['Q99', 'Q461391']"
N28035,"['Q32620', 'Q6294']"
N49198,"['Q4507421', 'Q30']"
N28442,[]
N62084,"['Q99', 'Q29468', 'Q29552', 'Q2495362', 'Q3874799', 'Q350843', 'Q22686', 'Q16199304', 'Q816']"
N5754,['Q190878']
N60941,[]
N19262,"['Q19757619', 'Q1622762', 'Q918596', 'Q842793', 'Q164177', 'Q1891397']"
N20723,"['Q558664', 'Q40715', 'Q5377422']"
N35774,[]
N43916,"['Q8877', 'Q15280']"
N20513,[]
N8798,['Q373822']
N10376,[]
N24868,[]
N7951,"['Q2920352', 'Q21']"
N60467,[]
N58332,"['Q1770624', 'Q26876']"
N18885,['Q48808914']
N21041,[]
N16032,['Q193583']
N21936,[]
N27822,['Q120119']
N44133,"['Q4546763', 'Q1192805']"
N61079,"['Q19809', 'Q8058759']"
N55625,"['Q753641', 'Q1391']"
N46832,[]
N44959,"['Q79875', 'Q65598596', 'Q173', 'Q8333']"
N17286,"['Q848117', 'Q265538', 'Q825838']"
N56461,['Q22686']
N7362,"['Q35907', 'Q908027', 'Q844']"
N51425,[]
N20743,[]
N21383,"['Q1057845', 'Q204711']"
N30012,[]
N38397,['Q289564']
N33942,"['Q428064', 'Q226062', 'Q341174', 'Q29570']"
N56840,[]
N10122,['Q4267401']
N50158,"['Q16558', 'Q16557']"
N1586,['Q433485']
N32006,['Q642345']
N9900,[]
N46688,[]
N6536,['Q7786369']
N24153,['Q5120360']
N3570,['Q929872']
N7182,['Q23197']
N50742,[]
N25631,[]
N19028,"['Q311269', 'Q22686']"
N51601,"['Q843', 'Q258']"
N38633,"['Q233929', 'Q1547320', 'Q56291134', 'Q1928582']"
N11161,"['Q29468', 'Q359442', 'Q22686', 'Q4379869']"
N47866,['Q762891']
N45493,[]
N32907,[]
N17602,[]
N65225,['Q233929']
N49505,"['Q3033250', 'Q20707362', 'Q258999']"
N57991,[]
N45908,['Q498515']
N54975,"['Q1163715', 'Q5386304', 'Q1546']"
N42669,[]
N58551,['Q1439']
N54064,[]
N46428,[]
N4021,['Q1052281']
N59255,[]
N17430,"['Q246', 'Q43']"
N25604,['Q157376']
N63270,"['Q1066823', 'Q1408', 'Q938359']"
N59271,"['Q1454', 'Q5188416', 'Q507811']"
N59418,[]
N34242,"['Q7163731', 'Q1400', 'Q306966']"
N63651,[]
N37957,"['Q1660187', 'Q223507', 'Q795406']"
N33458,"['Q212', 'Q11268', 'Q473239', 'Q14213']"
N18854,['Q422917']
N22033,[]
N61084,['Q7171565']
N228,[]
N12987,[]
N20818,['Q750788']
N31633,"['Q18121212', 'Q22686', 'Q2429253', 'Q858', 'Q9212']"
N4489,"['Q3018729', 'Q867496', 'Q246782', 'Q1017017']"
N12676,[]
N42607,[]
N18012,"['Q148', 'Q48525', 'Q956', 'Q11211', 'Q1066476']"
N33521,[]
N50208,"['Q1143589', 'Q7227715', 'Q621532', 'Q1189695']"
N42908,"['Q971195', 'Q47138769']"
N47966,['Q188920']
N55337,"['Q848117', 'Q265538', 'Q825838']"
N5485,[]
N39336,"['Q3820', 'Q40464', 'Q822']"
N33371,['Q812']
N16764,[]
N732,[]
N31527,"['Q44857', 'Q165911', 'Q2295321', 'Q60768202', 'Q94831', 'Q28148022', 'Q159347', 'Q42315001', 'Q45772', 'Q445405', 'Q17198340', 'Q37079', 'Q483507', 'Q4926628']"
N14607,[]
N48806,[]
N43467,"['Q932981', 'Q6023149', 'Q6346', 'Q1415']"
N50299,['Q1148035']
N10220,"['Q295020', 'Q2576777', 'Q842284']"
N1734,['Q121176']
N20106,"['Q934898', 'Q16557']"
N57075,['Q1100609']
N21311,[]
N37736,"['Q82518', 'Q213417']"
N62787,"['Q4013318', 'Q1165712']"
N49363,"['Q324523', 'Q4776474']"
N20620,[]
N47287,['Q139564']
N39535,[]
N21243,"['Q108127', 'Q1706317']"
N38578,[]
N47123,['Q4738450']
N12638,"['Q1066823', 'Q5083']"
N54623,['Q725967']
N42227,[]
N43966,"['Q47664', 'Q119798']"
N49375,[]
N58574,"['Q1574020', 'Q30']"
N6950,[]
N7716,"['Q10479', 'Q36812']"
N32749,"['Q509799', 'Q447967']"
N44066,[]
N6191,['Q30']
N56558,"['Q1454', 'Q25206705', 'Q164182', 'Q212559']"
N42524,['Q271812']
N43138,['Q2736']
N41257,"['Q159766', 'Q185142']"
N7403,['Q324563']
N61727,[]
N19103,"['Q2902370', 'Q13385', 'Q332448']"
N39843,"['Q5956645', 'Q246992', 'Q3064528']"
N48320,"['Q193753', 'Q223507', 'Q795406']"
N40684,[]
N22256,['Q696334']
N25041,['Q14169302']
N8182,"['Q190519', 'Q234712']"
N60933,['Q3304418']
N2955,[]
N3870,"['Q156353', 'Q250062', 'Q19079', 'Q2249117']"
N29893,"['Q35525', 'Q8652', 'Q1764511', 'Q22686', 'Q6279']"
N63734,"['Q181784', 'Q41819', 'Q1581', 'Q940690']"
N52528,"['Q96', 'Q30']"
N59449,"['Q389020', 'Q172741']"
N12188,['Q6727910']
N18753,[]
N45174,[]
N34240,"['Q193390', 'Q622747', 'Q14950726']"
N4303,['Q432437']
N34233,"['Q671510', 'Q6279']"
N543,"['Q23197', 'Q56754834', 'Q1509']"
N29745,['Q482430']
N42994,['Q3884']
N57131,[]
N28535,['Q28810445']
N44238,[]
N62150,['Q7988113']
N12612,['Q1030329']
N59291,"['Q1537', 'Q6767270']"
N32227,['Q61']
N34645,['Q192152']
N51027,"['Q7409856', 'Q223507', 'Q223522', 'Q16212133']"
N24866,"['Q16558', 'Q30']"
N19552,"['Q848117', 'Q334634', 'Q825838']"
N18760,[]
N18819,"['Q779', 'Q867460', 'Q753238', 'Q56016', 'Q1020609']"
N13225,['Q2156427']
N24427,['Q908027']
N60739,[]
N24132,['Q54853']
N52800,"['Q2348679', 'Q161345', 'Q8646', 'Q167253', 'Q155223', 'Q5226214']"
N49981,"['Q650807', 'Q213837', 'Q52290858', 'Q302581']"
N7748,"['Q2939329', 'Q319007', 'Q3693433', 'Q223511']"
N46662,['Q1967244']
N39718,"['Q25220861', 'Q913796', 'Q155476']"
N58637,[]
N7368,"['Q320484', 'Q6758302', 'Q1339239', 'Q918']"
N54624,"['Q1066807', 'Q108067']"
N62418,['Q930816']
N29621,"['Q84', 'Q169898']"
N61483,[]
N4295,['Q877332']
N20148,"['Q18097', 'Q19317', 'Q124138', 'Q253414']"
N64278,"['Q6392428', 'Q60048843', 'Q39070726']"
N43092,"['Q738462', 'Q5449967', 'Q11995', 'Q34581']"
N7180,[]
N58210,"['Q129605', 'Q223511']"
N20588,['Q897939']
N59137,"['Q330120', 'Q6764512']"
N41212,"['Q408', 'Q3183']"
N40642,[]
N58730,"['Q975', 'Q977988', 'Q2576201']"
N64130,['Q16238277']
N21526,['Q28403248']
N54783,"['Q16248013', 'Q2861562', 'Q94209']"
N36390,"['Q58495235', 'Q5214745']"
N44573,['Q1135486']
N13693,"['Q1508630', 'Q2821724', 'Q22686', 'Q11211', 'Q2429253', 'Q539444']"
N10398,['Q942326']
N25127,['Q1795024']
N13712,[]
N52293,[]
N43677,['Q4235']
N43465,"['Q246570', 'Q998596', 'Q184358']"
N30194,"['Q3112728', 'Q1450606', 'Q40469', 'Q542145', 'Q1408', 'Q260042', 'Q466786']"
N27667,"['Q193390', 'Q22006111', 'Q21062969', 'Q276539']"
N3270,"['Q29468', 'Q9588', 'Q22686']"
N53353,[]
N36457,"['Q341174', 'Q1146685']"
N8610,[]
N35585,['Q1454']
N30965,"['Q1021512', 'Q359442', 'Q4379869']"
N59437,"['Q34', 'Q355567']"
N1606,"['Q172435', 'Q32096', 'Q38952', 'Q205033', 'Q1215884', 'Q7694001']"
N4570,"['Q2078880', 'Q1591889', 'Q483551']"
N37987,[]
N54012,[]
N44438,"['Q337377', 'Q18631600']"
N40813,"['Q848117', 'Q981788', 'Q265538', 'Q825838']"
N47357,[]
N9138,"['Q848117', 'Q2924879', 'Q213417', 'Q633736', 'Q16234676']"
N4978,[]
N2770,['Q233929']
N3906,"['Q2360205', 'Q11081']"
N29824,['Q15825471']
N14720,[]
N21453,"['Q219714', 'Q205033', 'Q7579939', 'Q213837', 'Q221150', 'Q1215884']"
N2336,"['Q193390', 'Q830669']"
N34300,['Q247869']
N32180,['Q753950']
N51363,"['Q16212482', 'Q771', 'Q223527', 'Q193390', 'Q818897', 'Q1397']"
N1145,[]
N34544,[]
N52876,"['Q11701', 'Q29468', 'Q29552']"
N44940,['Q1408']
N57751,"['Q3186148', 'Q1133513', 'Q16234676', 'Q213417']"
N26634,['Q320484']
N19818,[]
N32202,[]
N5551,"['Q13974', 'Q1062280', 'Q204862', 'Q3564723', 'Q429050', 'Q3297873']"
N35993,['Q114264']
N36357,"['Q18631600', 'Q36159', 'Q65', 'Q1196431', 'Q337377', 'Q3277465']"
N24959,['Q332747']
N29740,"['Q483379', 'Q94831']"
N62357,['Q3157332']
N45102,['Q713960']
N38064,[]
N49210,"['Q219602', 'Q720027', 'Q746830', 'Q1408', 'Q1215884']"
N49345,[]
N31851,[]
N47341,"['Q131371', 'Q138089', 'Q521931']"
N36630,['Q2843705']
N55663,['Q908027']
N53095,[]
N30886,"['Q2060485', 'Q223511']"
N47699,['Q3172032']
N31637,[]
N30816,"['Q534238', 'Q192152']"
N44067,"['Q4545473', 'Q3884']"
N18908,"['Q2052291', 'Q6999', 'Q6269767', 'Q842']"
N64215,"['Q170433', 'Q112915', 'Q9050707']"
N56359,"['Q36159', 'Q148', 'Q936190', 'Q5226214']"
N39032,"['Q196342', 'Q276099', 'Q312']"
N38336,[]
N21744,[]
N6288,"['Q7287916', 'Q1370', 'Q878942']"
N18929,"['Q866196', 'Q272223', 'Q223511']"
N46858,"['Q5003502', 'Q7459509', 'Q2301614']"
N53570,[]
N49907,"['Q319642', 'Q26676', 'Q16555']"
N33853,['Q5131553']
N46454,"['Q196185', 'Q180950']"
N30766,"['Q23556', 'Q7957641', 'Q2598396', 'Q1415']"
N30891,['Q56856714']
N48304,[]
N46397,"['Q127530', 'Q32396']"
N4681,['Q200092']
N41648,"['Q10608114', 'Q57313601', 'Q7304859', 'Q1439']"
N23198,"['Q43874', 'Q493755', 'Q13979']"
N1398,['Q1546']
N62982,"['Q35525', 'Q166032', 'Q825838', 'Q959451']"
N28406,[]
N29569,"['Q7143356', 'Q233929', 'Q7579939', 'Q1815381', 'Q1068013', 'Q1439']"
N24416,"['Q2766', 'Q20007086', 'Q9340', 'Q24907733', 'Q48493', 'Q95', 'Q312']"
N62092,"['Q928122', 'Q207784']"
N45715,"['Q11466', 'Q95']"
N21185,['Q483551']
N14028,['Q65']
N28552,['Q1003']
N13843,[]
N25873,"['Q3028907', 'Q1192310', 'Q936661', 'Q265538', 'Q3369361', 'Q825838']"
N16521,"['Q3992490', 'Q5070058']"
N16029,['Q193692']
N61456,['Q11081']
N32593,"['Q26966', 'Q2571085', 'Q11338233', 'Q49384']"
N27013,"['Q179673', 'Q31235', 'Q205447']"
N8753,[]
N34930,[]
N11348,['Q2759586']
N19312,"['Q861206', 'Q1163715', 'Q825838']"
N14641,[]
N5003,"['Q848352', 'Q5875771']"
N2193,"['Q170581', 'Q22686', 'Q182788']"
N15976,['Q233510']
N11350,['Q11303396']
N21491,"['Q99', 'Q146575']"
N44436,"['Q668642', 'Q512119', 'Q1475603']"
N14505,"['Q223507', 'Q14950651', 'Q5048309', 'Q223527', 'Q1215884', 'Q795406']"
N37766,['Q176483']
N46950,['Q202466']
N17423,"['Q1857407', 'Q6451434']"
N18936,['Q1537']
N7234,[]
N28111,"['Q718113', 'Q1425378']"
N1459,"['Q84', 'Q324523', 'Q205033', 'Q365882']"
N31444,['Q233309']
N60392,"['Q2865008', 'Q272059', 'Q5214234', 'Q221878']"
N63577,['Q17060160']
N41860,['Q3137281']
N7941,[]
N26632,"['Q7414', 'Q206859', 'Q39046747']"
N16384,['Q38076']
N4972,['Q120119']
N54786,"['Q7233544', 'Q193753', 'Q431925']"
N4209,['Q12147']
N57899,"['Q7138568', 'Q49085', 'Q111168']"
N8370,"['Q251868', 'Q1046951']"
N51077,['Q38952']
N7645,"['Q371820', 'Q174923']"
N41357,['Q461469']
N17621,['Q1009963']
N19495,"['Q19263662', 'Q152316']"
N26584,"['Q59555084', 'Q858', 'Q22686']"
N61119,"['Q653251', 'Q11114344', 'Q4637383']"
N33570,[]
N21112,"['Q20090644', 'Q19896071', 'Q340']"
N57552,"['Q43', 'Q1922067', 'Q30', 'Q2429253', 'Q39259']"
N476,['Q371820']
N10935,['Q191615']
N53879,"['Q1558', 'Q11201']"
N22505,"['Q223527', 'Q193390']"
N23088,[]
N48422,"['Q5131553', 'Q2930485']"
N5249,"['Q272059', 'Q5214234', 'Q2865008']"
N4435,['Q3290452']
N62427,"['Q2299611', 'Q35657']"
N7004,"['Q772304', 'Q3304418', 'Q152316']"
N10280,"['Q718113', 'Q7925401', 'Q1070684', 'Q7759597']"
N5195,[]
N40032,['Q313381']
N45225,"['Q12057690', 'Q209330']"
N34048,['Q32674891']
N18005,[]
N46596,"['Q39709', 'Q1546', 'Q6064618']"
N35791,[]
N14335,"['Q230492', 'Q485172', 'Q16147495']"
N54843,"['Q2877626', 'Q186068', 'Q465597']"
N57119,['Q39398']
N34322,['Q3304418']
N7895,"['Q3884', 'Q86483']"
N8263,['Q568723']
N32502,[]
N10270,"['Q183476', 'Q28170697']"
N5978,[]
N42660,[]
N21136,"['Q7759594', 'Q2014922', 'Q7702149']"
N15424,['Q383260']
N33800,"['Q918224', 'Q1215884', 'Q221878']"
N91,['Q3077088']
N62758,['Q56166']
N38014,['Q81965']
N26401,"['Q20735603', 'Q683705']"
N62582,['Q142']
N11258,"['Q207724', 'Q114']"
N37756,"['Q779', 'Q2347975', 'Q1973878']"
N29960,[]
N15416,"['Q848117', 'Q1192310', 'Q61']"
N520,"['Q1166', 'Q38076']"
N9648,"['Q848117', 'Q265538', 'Q825838']"
N27503,"['Q13974', 'Q22686', 'Q19879826']"
N61433,"['Q4025936', 'Q162990', 'Q155223']"
N17055,[]
N55526,"['Q147077', 'Q873']"
N3908,"['Q936190', 'Q2125156', 'Q131439', 'Q16538', 'Q3366864']"
N32247,['Q27650']
N38528,"['Q22686', 'Q30', 'Q223']"
N27289,[]
N44396,['Q8646']
N3325,[]
N19297,"['Q105584', 'Q907311']"
N52508,"['Q3502886', 'Q1925718']"
N60065,['Q907311']
N217,"['Q22686', 'Q212', 'Q212648', 'Q555']"
N14639,[]
N2329,"['Q35525', 'Q17017888', 'Q3884']"
N58304,[]
N37026,"['Q35525', 'Q29468', 'Q29552', 'Q22686']"
N48701,"['Q2494197', 'Q5241695', 'Q5241696']"
N33764,"['Q491132', 'Q1570423']"
N6058,"['Q206297', 'Q196105', 'Q15262098', 'Q1363408', 'Q467752', 'Q1538690', 'Q162954', 'Q186125', 'Q62', 'Q157376', 'Q164177']"
N50652,"['Q2276408', 'Q18631600']"
N50985,"['Q660558', 'Q948442', 'Q223668']"
N54726,"['Q858794', 'Q351']"
N38035,"['Q848117', 'Q3026879', 'Q213417', 'Q926404', 'Q1133513', 'Q31545131', 'Q16236139', 'Q16234676']"
N25518,"['Q604141', 'Q944329', 'Q5083', 'Q194057']"
N61157,"['Q30113', 'Q21233165']"
N8571,"['Q173', 'Q807791']"
N28287,"['Q5092', 'Q2881660']"
N17188,"['Q486192', 'Q1971029', 'Q60987711']"
N46534,[]
N31254,['Q8071888']
N48194,"['Q193390', 'Q1215884']"
N12737,[]
N51949,['Q691904']
N6357,"['Q108861', 'Q5083', 'Q7442150']"
N20725,"['Q373491', 'Q271805']"
N14418,"['Q522497', 'Q7824333']"
N21002,[]
N20244,"['Q344792', 'Q15634567']"
N43035,"['Q47770', 'Q5294', 'Q54864392', 'Q55907451', 'Q22277803', 'Q47524071']"
N48044,[]
N11367,['Q22686']
N40974,[]
N60825,"['Q20630554', 'Q161238', 'Q223511']"
N33071,"['Q7949690', 'Q4813453', 'Q1428', 'Q203263']"
N55231,['Q371068']
N39529,[]
N38975,"['Q272059', 'Q984327']"
N25519,['Q1146532']
N33584,['Q15749282']
N389,['Q22686']
N18516,['Q746448']
N53286,"['Q204862', 'Q4740236']"
N8041,['Q1073891']
N47005,"['Q96', 'Q7900271', 'Q26590', 'Q30', 'Q1439', 'Q187954']"
N57265,"['Q213837', 'Q271880']"
N44681,[]
N48330,"['Q1783815', 'Q2283', 'Q73801', 'Q18185763', 'Q379438', 'Q145']"
N7607,['Q13133']
N56616,[]
N21486,['Q6861797']
N7128,"['Q929872', 'Q39804']"
N13535,['Q183476']
N27132,"['Q22958459', 'Q164177', 'Q155223']"
N58547,[]
N7412,"['Q52286175', 'Q190618', 'Q10862290']"
N37694,['Q7205279']
N35102,"['Q1439', 'Q22686', 'Q29010608']"
N39624,[]
N12452,[]
N19894,[]
N46288,[]
N20862,"['Q3090378', 'Q1051079', 'Q14375933', 'Q1518478']"
N4499,"['Q5131553', 'Q155223']"
N44228,"['Q214700', 'Q1384']"
N29278,"['Q10980', 'Q15280', 'Q880256', 'Q3033250']"
N49149,[]
N32844,"['Q367523', 'Q371820', 'Q7322']"
N440,"['Q55604490', 'Q49246']"
N13194,"['Q38076', 'Q906754']"
N3623,"['Q49221', 'Q49272', 'Q102400', 'Q16556', 'Q51685', 'Q49261']"
N32072,"['Q7414', 'Q13909', 'Q54437950']"
N15905,"['Q462', 'Q8337', 'Q3884']"
N26479,[]
N27077,['Q485561']
N21746,['Q1408']
N1876,"['Q1204', 'Q7080909']"
N59726,"['Q16499823', 'Q212648']"
N29702,"['Q16241314', 'Q812']"
N46771,"['Q148', 'Q30', 'Q40469']"
N35783,[]
N45165,"['Q41819', 'Q365150', 'Q1581', 'Q4743783', 'Q486472', 'Q861764']"
N30717,[]
N23743,"['Q99', 'Q22686', 'Q40469']"
N32547,"['Q128581', 'Q19879826']"
N10553,[]
N50891,['Q688825']
N50788,['Q44380']
